_id,date,center_name,attendance_count
41200707,2016-01-27,Ammon Community Center,51
41200708,2016-01-27,Arlington Community Center,46
41200709,2016-01-27,Brookline Community Center,157
41200710,2016-01-27,Jefferson Community Center,35
41200711,2016-01-27,Ormsby Community Center,84
41200712,2016-01-27,Phillips Community Center,97
41200713,2016-01-27,Warrington Community Center,70
41200714,2016-01-27,Magee Community Center,65
41200715,2016-01-27,West Penn Community Center,97
41200716,2016-01-26,Arlington Community Center,40
41200717,2016-01-26,Ammon Community Center,42
41200718,2016-01-26,Jefferson Community Center,24
41200719,2016-01-26,Brookline Community Center,140
41200720,2016-01-26,Ormsby Community Center,50
41200721,2016-01-26,Warrington Community Center,80
41200722,2016-01-26,Phillips Community Center,96
41200723,2016-01-26,Magee Community Center,66
41200724,2016-01-26,West Penn Community Center,66
41200725,2016-01-25,Ammon Community Center,45
41200726,2016-01-25,Arlington Community Center,13
41200727,2016-01-25,Brookline Community Center,129
41200728,2016-01-25,Jefferson Community Center,12
41200729,2016-01-25,Ormsby Community Center,28
41200730,2016-01-25,Phillips Community Center,145
41200731,2016-01-25,Warrington Community Center,64
41200732,2016-01-25,Magee Community Center,89
41200733,2016-01-25,West Penn Community Center,61
41200734,2016-01-24,Ammon Community Center,85
41200735,2016-01-23,Brookline Community Center,37
41200736,2016-01-23,Ormsby Community Center,7
41200737,2016-01-23,Phillips Community Center,10
41200738,2016-01-23,Magee Community Center,18
41200739,2016-01-23,West Penn Community Center,2
41200740,2016-01-22,Ammon Community Center,18
41200741,2016-01-22,Arlington Community Center,27
41200742,2016-01-22,Brookline Community Center,86
41200743,2016-01-22,Jefferson Community Center,21
41200744,2016-01-22,Ormsby Community Center,50
41200745,2016-01-22,Phillips Community Center,85
41200746,2016-01-22,Warrington Community Center,36
41200747,2016-01-22,Magee Community Center,38
41200748,2016-01-22,West Penn Community Center,39
41200749,2016-01-21,Arlington Community Center,51
41200750,2016-01-21,Ammon Community Center,85
41200751,2016-01-21,Jefferson Community Center,36
41200752,2016-01-21,Brookline Community Center,127
41200753,2016-01-21,Ormsby Community Center,75
41200754,2016-01-21,Warrington Community Center,82
41200755,2016-01-21,Phillips Community Center,85
41200756,2016-01-21,Magee Community Center,50
41200757,2016-01-21,West Penn Community Center,101
41200758,2016-01-20,Ammon Community Center,149
41200759,2016-01-20,Arlington Community Center,15
41200760,2016-01-20,Brookline Community Center,111
41200761,2016-01-20,Jefferson Community Center,35
41200762,2016-01-20,Ormsby Community Center,60
41200763,2016-01-20,Paulson Community Center,71
41200764,2016-01-20,Phillips Community Center,5
41200765,2016-01-20,Warrington Community Center,55
41200766,2016-01-20,Magee Community Center,20
41200767,2016-01-20,West Penn Community Center,55
41200768,2016-01-19,Arlington Community Center,28
41200769,2016-01-19,Ammon Community Center,136
41200770,2016-01-19,Jefferson Community Center,34
41200771,2016-01-19,Brookline Community Center,113
41200772,2016-01-19,Ormsby Community Center,69
41200773,2016-01-19,Warrington Community Center,69
41200774,2016-01-19,Phillips Community Center,90
41200775,2016-01-19,West Penn Community Center,76
41200776,2016-01-16,Ammon Community Center,29
41200777,2016-01-16,Brookline Community Center,166
41200778,2016-01-16,Ormsby Community Center,31
41200779,2016-01-16,Phillips Community Center,40
41200780,2016-01-16,Magee Community Center,22
41200781,2016-01-16,West Penn Community Center,18
41200782,2016-01-15,Ammon Community Center,51
41200783,2016-01-15,Arlington Community Center,4
41200784,2016-01-15,Brookline Community Center,201
41200785,2016-01-15,Jefferson Community Center,34
41200786,2016-01-15,Ormsby Community Center,37
41200787,2016-01-15,Phillips Community Center,89
41200788,2016-01-15,Warrington Community Center,73
41200789,2016-01-15,Magee Community Center,76
41200790,2016-01-15,West Penn Community Center,44
41200791,2016-01-14,Arlington Community Center,42
41200792,2016-01-14,Ammon Community Center,196
41200793,2016-01-14,Jefferson Community Center,21
41200794,2016-01-14,Brookline Community Center,151
41200795,2016-01-14,Ormsby Community Center,54
41200796,2016-01-14,Warrington Community Center,53
41200797,2016-01-14,Phillips Community Center,106
41200798,2016-01-14,Magee Community Center,35
41200799,2016-01-14,West Penn Community Center,120
41200800,2016-01-13,Ammon Community Center,51
41200801,2016-01-13,Arlington Community Center,18
41200802,2016-01-13,Brookline Community Center,127
41200803,2016-01-13,Jefferson Community Center,27
41200804,2016-01-13,Ormsby Community Center,57
41200805,2016-01-13,Phillips Community Center,109
41200806,2016-01-13,Warrington Community Center,76
41200807,2016-01-13,Magee Community Center,50
41200808,2016-01-13,West Penn Community Center,80
41200809,2016-01-12,Arlington Community Center,25
41200810,2016-01-12,Ammon Community Center,18
41200811,2016-01-12,Jefferson Community Center,9
41200812,2016-01-12,Brookline Community Center,38
41200813,2016-01-12,Ormsby Community Center,58
41200814,2016-01-12,Warrington Community Center,47
41200815,2016-01-12,Phillips Community Center,48
41200816,2016-01-12,Magee Community Center,34
41200817,2016-01-12,West Penn Community Center,20
41200818,2016-01-11,Ammon Community Center,123
41200819,2016-01-11,Arlington Community Center,27
41200820,2016-01-11,Brookline Community Center,116
41200821,2016-01-11,Jefferson Community Center,42
41200822,2016-01-11,Ormsby Community Center,51
41200823,2016-01-11,Phillips Community Center,106
41200824,2016-01-11,Warrington Community Center,66
41200825,2016-01-11,Magee Community Center,72
41200826,2016-01-11,West Penn Community Center,110
41200827,2016-01-09,Brookline Community Center,65
41200828,2016-01-09,Ormsby Community Center,18
41200829,2016-01-09,Phillips Community Center,30
41200830,2016-01-09,Magee Community Center,22
41200831,2016-01-09,West Penn Community Center,102
41200832,2016-01-08,Arlington Community Center,7
41200833,2016-01-08,Ammon Community Center,103
41200834,2016-01-08,Brookline Community Center,162
41200835,2016-01-08,Jefferson Community Center,41
41200836,2016-01-08,Ormsby Community Center,21
41200837,2016-01-08,Phillips Community Center,93
41200838,2016-01-08,Warrington Community Center,76
41200839,2016-01-08,Magee Community Center,53
41200840,2016-01-08,West Penn Community Center,64
41200841,2016-01-07,Ammon Community Center,121
41200842,2016-01-07,Arlington Community Center,27
41200843,2016-01-07,Jefferson Community Center,33
41200844,2016-01-07,Brookline Community Center,135
41200845,2016-01-07,Ormsby Community Center,56
41200846,2016-01-07,Warrington Community Center,72
41200847,2016-01-07,Phillips Community Center,97
41200848,2016-01-07,Magee Community Center,49
41200849,2016-01-07,West Penn Community Center,86
41200850,2016-01-06,Arlington Community Center,23
41200851,2016-01-06,Ammon Community Center,54
41200852,2016-01-06,Brookline Community Center,177
41200853,2016-01-06,Jefferson Community Center,28
41200854,2016-01-06,Ormsby Community Center,77
41200855,2016-01-06,Phillips Community Center,89
41200856,2016-01-06,Warrington Community Center,76
41200857,2016-01-06,Magee Community Center,48
41200858,2016-01-06,West Penn Community Center,86
41200859,2016-01-05,Ammon Community Center,29
41200860,2016-01-05,Arlington Community Center,20
41200861,2016-01-05,Jefferson Community Center,22
41200862,2016-01-05,Brookline Community Center,188
41200863,2016-01-05,Ormsby Community Center,50
41200864,2016-01-05,Paulson Community Center,11
41200865,2016-01-05,Warrington Community Center,52
41200866,2016-01-05,Phillips Community Center,65
41200867,2016-01-05,Magee Community Center,58
41200868,2016-01-05,West Penn Community Center,41
41200869,2016-01-04,Arlington Community Center,28
41200870,2016-01-04,Ammon Community Center,136
41200871,2016-01-04,Brookline Community Center,149
41200872,2016-01-04,Jefferson Community Center,32
41200873,2016-01-04,Ormsby Community Center,51
41200874,2016-01-04,Phillips Community Center,110
41200875,2016-01-04,Warrington Community Center,64
41200876,2016-01-04,Magee Community Center,63
41200877,2016-01-04,West Penn Community Center,84
41200878,2016-01-02,Brookline Community Center,62
41200879,2016-01-02,Ormsby Community Center,8
41200880,2016-01-02,Phillips Community Center,24
41200881,2016-01-02,Magee Community Center,7
41200882,2016-01-02,West Penn Community Center,75
41200883,2015-12-31,Ammon Community Center,34
41200884,2015-12-31,Arlington Community Center,7
41200885,2015-12-31,Brookline Community Center,23
41200886,2015-12-31,Jefferson Community Center,31
41200887,2015-12-31,Ormsby Community Center,25
41200888,2015-12-31,Phillips Community Center,40
41200889,2015-12-31,Warrington Community Center,14
41200890,2015-12-31,Magee Community Center,12
41200891,2015-12-31,West Penn Community Center,19
41200892,2015-12-30,Arlington Community Center,26
41200893,2015-12-30,Ammon Community Center,46
41200894,2015-12-30,Jefferson Community Center,19
41200895,2015-12-30,Brookline Community Center,132
41200896,2015-12-30,Ormsby Community Center,31
41200897,2015-12-30,Warrington Community Center,36
41200898,2015-12-30,Phillips Community Center,129
41200899,2015-12-30,Magee Community Center,29
41200900,2015-12-30,West Penn Community Center,65
41200901,2015-12-29,Ammon Community Center,34
41200902,2015-12-29,Arlington Community Center,18
41200903,2015-12-29,Brookline Community Center,122
41200904,2015-12-29,Jefferson Community Center,11
41200905,2015-12-29,Ormsby Community Center,40
41200906,2015-12-29,Phillips Community Center,96
41200907,2015-12-29,Warrington Community Center,24
41200908,2015-12-29,Magee Community Center,63
41200909,2015-12-29,West Penn Community Center,64
41200910,2015-12-28,Arlington Community Center,49
41200911,2015-12-28,Ammon Community Center,40
41200912,2015-12-28,Jefferson Community Center,14
41200913,2015-12-28,Brookline Community Center,152
41200914,2015-12-28,Ormsby Community Center,30
41200915,2015-12-28,Warrington Community Center,59
41200916,2015-12-28,Phillips Community Center,112
41200917,2015-12-28,Magee Community Center,75
41200918,2015-12-28,West Penn Community Center,78
41200919,2015-12-24,Ammon Community Center,17
41200920,2015-12-24,Arlington Community Center,6
41200921,2015-12-24,Brookline Community Center,38
41200922,2015-12-24,Jefferson Community Center,27
41200923,2015-12-24,Ormsby Community Center,16
41200924,2015-12-24,Phillips Community Center,44
41200925,2015-12-24,Warrington Community Center,21
41200926,2015-12-24,Magee Community Center,11
41200927,2015-12-24,West Penn Community Center,14
41200928,2015-12-23,Arlington Community Center,29
41200929,2015-12-23,Ammon Community Center,118
41200930,2015-12-23,Jefferson Community Center,22
41200931,2015-12-23,Brookline Community Center,107
41200932,2015-12-23,Ormsby Community Center,51
41200933,2015-12-23,Paulson Community Center,10
41200934,2015-12-23,Warrington Community Center,34
41200935,2015-12-23,Phillips Community Center,53
41200936,2015-12-23,Magee Community Center,62
41200937,2015-12-23,West Penn Community Center,56
41200938,2015-12-22,Ammon Community Center,42
41200939,2015-12-22,Arlington Community Center,21
41200940,2015-12-22,Brookline Community Center,150
41200941,2015-12-22,Jefferson Community Center,26
41200942,2015-12-22,Paulson Community Center,17
41200943,2015-12-22,Ormsby Community Center,43
41200944,2015-12-22,Warrington Community Center,60
41200945,2015-12-22,Magee Community Center,73
41200946,2015-12-22,West Penn Community Center,49
41200947,2015-12-21,Arlington Community Center,35
41200948,2015-12-21,Ammon Community Center,143
41200949,2015-12-21,Jefferson Community Center,43
41200950,2015-12-21,Brookline Community Center,128
41200951,2015-12-21,Ormsby Community Center,50
41200952,2015-12-21,Paulson Community Center,15
41200953,2015-12-21,Warrington Community Center,55
41200954,2015-12-21,Phillips Community Center,137
41200955,2015-12-21,Magee Community Center,83
41200956,2015-12-21,West Penn Community Center,77
41200957,2015-12-19,Ammon Community Center,34
41200958,2015-12-19,Brookline Community Center,66
41200959,2015-12-19,Ormsby Community Center,14
41200960,2015-12-19,Phillips Community Center,26
41200961,2015-12-19,Magee Community Center,18
41200962,2015-12-19,West Penn Community Center,35
41200963,2015-12-18,Ammon Community Center,86
41200964,2015-12-18,Arlington Community Center,24
41200965,2015-12-18,Brookline Community Center,186
41200966,2015-12-18,Jefferson Community Center,28
41200967,2015-12-18,Ormsby Community Center,29
41200968,2015-12-18,Phillips Community Center,45
41200969,2015-12-18,Warrington Community Center,49
41200970,2015-12-18,Magee Community Center,79
41200971,2015-12-18,West Penn Community Center,43
41200972,2015-12-17,Arlington Community Center,28
41200973,2015-12-17,Ammon Community Center,189
41200974,2015-12-17,Jefferson Community Center,26
41200975,2015-12-17,Brookline Community Center,115
41200976,2015-12-17,Ormsby Community Center,44
41200977,2015-12-17,Warrington Community Center,55
41200978,2015-12-17,Phillips Community Center,79
41200979,2015-12-17,Magee Community Center,78
41200980,2015-12-17,West Penn Community Center,58
41200981,2015-12-16,Ammon Community Center,245
41200982,2015-12-16,Arlington Community Center,19
41200983,2015-12-16,Brookline Community Center,135
41200984,2015-12-16,Jefferson Community Center,28
41200985,2015-12-16,Ormsby Community Center,55
41200986,2015-12-16,Phillips Community Center,113
41200987,2015-12-16,Warrington Community Center,61
41200988,2015-12-16,Magee Community Center,77
41200989,2015-12-16,West Penn Community Center,53
41200990,2015-12-15,Arlington Community Center,20
41200991,2015-12-15,Ammon Community Center,60
41200992,2015-12-15,Jefferson Community Center,51
41200993,2015-12-15,Brookline Community Center,159
41200994,2015-12-15,Ormsby Community Center,35
41200995,2015-12-15,Paulson Community Center,9
41200996,2015-12-15,Warrington Community Center,70
41200997,2015-12-15,Phillips Community Center,89
41200998,2015-12-15,Magee Community Center,40
41200999,2015-12-15,West Penn Community Center,66
41201000,2015-12-14,Ammon Community Center,66
41201001,2015-12-14,Arlington Community Center,36
41201002,2015-12-14,Brookline Community Center,121
41201003,2015-12-14,Jefferson Community Center,28
41201004,2015-12-14,Ormsby Community Center,29
41201005,2015-12-14,Phillips Community Center,108
41201006,2015-12-14,Warrington Community Center,46
41201007,2015-12-14,Magee Community Center,78
41201008,2015-12-14,West Penn Community Center,82
41201009,2015-12-13,Ammon Community Center,24
41201010,2015-12-12,Brookline Community Center,103
41201011,2015-12-12,Ormsby Community Center,27
41201012,2015-12-12,Warrington Community Center,106
41201013,2015-12-12,Phillips Community Center,20
41201014,2015-12-12,Magee Community Center,17
41201015,2015-12-12,West Penn Community Center,59
41201016,2015-12-11,Ammon Community Center,30
41201017,2015-12-11,Arlington Community Center,28
41201018,2015-12-11,Brookline Community Center,198
41201019,2015-12-11,Jefferson Community Center,36
41201020,2015-12-11,Ormsby Community Center,26
41201021,2015-12-11,Phillips Community Center,74
41201022,2015-12-11,Warrington Community Center,44
41201023,2015-12-11,Magee Community Center,38
41201024,2015-12-11,West Penn Community Center,45
41201025,2015-12-10,Arlington Community Center,32
41201026,2015-12-10,Ammon Community Center,94
41201027,2015-12-10,Jefferson Community Center,51
41201028,2015-12-10,Brookline Community Center,92
41201029,2015-12-10,Ormsby Community Center,66
41201030,2015-12-10,Warrington Community Center,37
41201031,2015-12-10,Phillips Community Center,92
41201032,2015-12-10,Magee Community Center,127
41201033,2015-12-10,West Penn Community Center,48
41201034,2015-12-09,Ammon Community Center,140
41201035,2015-12-09,Arlington Community Center,30
41201036,2015-12-09,Brookline Community Center,165
41201037,2015-12-09,Jefferson Community Center,45
41201038,2015-12-09,Ormsby Community Center,78
41201039,2015-12-09,Paulson Community Center,31
41201040,2015-12-09,Phillips Community Center,108
41201041,2015-12-09,Warrington Community Center,27
41201042,2015-12-09,Magee Community Center,31
41201043,2015-12-09,West Penn Community Center,68
41201044,2015-12-08,Arlington Community Center,19
41201045,2015-12-08,Ammon Community Center,129
41201046,2015-12-08,Brookline Community Center,246
41201047,2015-12-08,Paulson Community Center,25
41201048,2015-12-08,Ormsby Community Center,24
41201049,2015-12-08,Warrington Community Center,27
41201050,2015-12-08,Phillips Community Center,124
41201051,2015-12-08,Magee Community Center,40
41201052,2015-12-08,West Penn Community Center,134
41201053,2015-12-07,Ammon Community Center,189
41201054,2015-12-07,Arlington Community Center,27
41201055,2015-12-07,Brookline Community Center,129
41201056,2015-12-07,Ormsby Community Center,33
41201057,2015-12-07,Phillips Community Center,119
41201058,2015-12-07,Warrington Community Center,23
41201059,2015-12-07,Magee Community Center,49
41201060,2015-12-07,West Penn Community Center,45
41201061,2015-12-05,Ammon Community Center,41
41201062,2015-12-05,Brookline Community Center,47
41201063,2015-12-05,Ormsby Community Center,19
41201064,2015-12-05,Phillips Community Center,40
41201065,2015-12-05,Magee Community Center,11
41201066,2015-12-05,West Penn Community Center,103
41201067,2015-12-04,Ammon Community Center,53
41201068,2015-12-04,Arlington Community Center,18
41201069,2015-12-04,Brookline Community Center,200
41201070,2015-12-04,Ormsby Community Center,33
41201071,2015-12-04,Phillips Community Center,76
41201072,2015-12-04,Warrington Community Center,10
41201073,2015-12-04,Magee Community Center,54
41201074,2015-12-04,West Penn Community Center,43
41201075,2015-12-03,Arlington Community Center,32
41201076,2015-12-03,Ammon Community Center,175
41201077,2015-12-03,Brookline Community Center,113
41201078,2015-12-03,Ormsby Community Center,9
41201079,2015-12-03,Warrington Community Center,13
41201080,2015-12-03,Phillips Community Center,71
41201081,2015-12-03,Magee Community Center,21
41201082,2015-12-03,West Penn Community Center,100
41201083,2015-12-02,Ammon Community Center,138
41201084,2015-12-02,Arlington Community Center,28
41201085,2015-12-02,Brookline Community Center,119
41201086,2015-12-02,Phillips Community Center,91
41201087,2015-12-02,Warrington Community Center,33
41201088,2015-12-02,Magee Community Center,52
41201089,2015-12-02,West Penn Community Center,106
41201090,2015-12-01,Arlington Community Center,25
41201091,2015-12-01,Ammon Community Center,116
41201092,2015-12-01,Brookline Community Center,222
41201093,2015-12-01,Jefferson Community Center,23
41201094,2015-12-01,Paulson Community Center,22
41201095,2015-12-01,Warrington Community Center,54
41201096,2015-12-01,Phillips Community Center,105
41201097,2015-12-01,Magee Community Center,50
41201098,2015-12-01,West Penn Community Center,135
41201099,2015-11-30,Ammon Community Center,149
41201100,2015-11-30,Arlington Community Center,45
41201101,2015-11-30,Jefferson Community Center,9
41201102,2015-11-30,Brookline Community Center,133
41201103,2015-11-30,Phillips Community Center,88
41201104,2015-11-30,Warrington Community Center,50
41201105,2015-11-30,Magee Community Center,15
41201106,2015-11-30,West Penn Community Center,43
41201107,2015-11-28,Ammon Community Center,70
41201108,2015-11-25,Ammon Community Center,79
41201109,2015-11-25,Arlington Community Center,16
41201110,2015-11-25,Brookline Community Center,99
41201111,2015-11-25,Jefferson Community Center,9
41201112,2015-11-25,Warrington Community Center,23
41201113,2015-11-25,Phillips Community Center,47
41201114,2015-11-25,Magee Community Center,49
41201115,2015-11-25,West Penn Community Center,40
41201116,2015-11-24,Arlington Community Center,38
41201117,2015-11-24,Ammon Community Center,72
41201118,2015-11-24,Jefferson Community Center,39
41201119,2015-11-24,Brookline Community Center,81
41201120,2015-11-24,Phillips Community Center,76
41201121,2015-11-24,Warrington Community Center,46
41201122,2015-11-24,Magee Community Center,37
41201123,2015-11-24,West Penn Community Center,107
41201124,2015-11-23,Ammon Community Center,55
41201125,2015-11-23,Arlington Community Center,39
41201126,2015-11-23,Brookline Community Center,146
41201127,2015-11-23,Jefferson Community Center,25
41201128,2015-11-23,Warrington Community Center,46
41201129,2015-11-23,Phillips Community Center,97
41201130,2015-11-23,Magee Community Center,69
41201131,2015-11-23,West Penn Community Center,40
41201132,2015-11-21,Ammon Community Center,25
41201133,2015-11-21,Brookline Community Center,90
41201134,2015-11-21,Phillips Community Center,23
41201135,2015-11-21,Magee Community Center,26
41201136,2015-11-21,West Penn Community Center,11
41201137,2015-11-20,Ammon Community Center,45
41201138,2015-11-20,Arlington Community Center,14
41201139,2015-11-20,Brookline Community Center,109
41201140,2015-11-20,Jefferson Community Center,23
41201141,2015-11-20,Paulson Community Center,30
41201142,2015-11-20,Ormsby Community Center,4
41201143,2015-11-20,Phillips Community Center,56
41201144,2015-11-20,Warrington Community Center,46
41201145,2015-11-20,Magee Community Center,48
41201146,2015-11-20,West Penn Community Center,31
41201147,2015-11-19,Arlington Community Center,20
41201148,2015-11-19,Ammon Community Center,44
41201149,2015-11-19,Brookline Community Center,109
41201150,2015-11-19,Ormsby Community Center,1
41201151,2015-11-19,Paulson Community Center,1
41201152,2015-11-19,Warrington Community Center,42
41201153,2015-11-19,Phillips Community Center,103
41201154,2015-11-19,Magee Community Center,41
41201155,2015-11-19,West Penn Community Center,113
41201156,2015-11-18,Ammon Community Center,83
41201157,2015-11-18,Arlington Community Center,40
41201158,2015-11-18,Brookline Community Center,136
41201159,2015-11-18,Paulson Community Center,18
41201160,2015-11-18,Phillips Community Center,82
41201161,2015-11-18,Warrington Community Center,64
41201162,2015-11-18,Magee Community Center,49
41201163,2015-11-18,West Penn Community Center,68
41201164,2015-11-17,Arlington Community Center,28
41201165,2015-11-17,Ammon Community Center,144
41201166,2015-11-17,Brookline Community Center,134
41201167,2015-11-17,Ormsby Community Center,4
41201168,2015-11-17,Warrington Community Center,58
41201169,2015-11-17,Phillips Community Center,78
41201170,2015-11-17,Magee Community Center,30
41201171,2015-11-17,West Penn Community Center,97
41201172,2015-11-16,Ammon Community Center,192
41201173,2015-11-16,Arlington Community Center,21
41201174,2015-11-16,Brookline Community Center,184
41201175,2015-11-16,Ormsby Community Center,50
41201176,2015-11-16,Phillips Community Center,111
41201177,2015-11-16,Warrington Community Center,47
41201178,2015-11-16,Magee Community Center,49
41201179,2015-11-16,West Penn Community Center,38
41201180,2015-11-14,Brookline Community Center,57
41201181,2015-11-14,Phillips Community Center,27
41201182,2015-11-14,Magee Community Center,44
41201183,2015-11-14,West Penn Community Center,30
41201184,2015-11-13,Arlington Community Center,16
41201185,2015-11-13,Ammon Community Center,3
41201186,2015-11-13,Brookline Community Center,57
41201187,2015-11-13,Jefferson Community Center,18
41201188,2015-11-13,Ormsby Community Center,19
41201189,2015-11-13,Phillips Community Center,77
41201190,2015-11-13,Warrington Community Center,35
41201191,2015-11-13,Magee Community Center,31
41201192,2015-11-13,West Penn Community Center,54
41201193,2015-11-12,Ammon Community Center,77
41201194,2015-11-12,Arlington Community Center,18
41201195,2015-11-12,Jefferson Community Center,17
41201196,2015-11-12,Brookline Community Center,121
41201197,2015-11-12,Ormsby Community Center,65
41201198,2015-11-12,Warrington Community Center,33
41201199,2015-11-12,Phillips Community Center,88
41201200,2015-11-12,Magee Community Center,50
41201201,2015-11-12,West Penn Community Center,133
41201202,2015-11-10,Arlington Community Center,14
41201203,2015-11-10,Ammon Community Center,84
41201204,2015-11-10,Brookline Community Center,87
41201205,2015-11-10,Jefferson Community Center,25
41201206,2015-11-10,Ormsby Community Center,38
41201207,2015-11-10,Phillips Community Center,85
41201208,2015-11-10,Warrington Community Center,29
41201209,2015-11-10,Magee Community Center,18
41201210,2015-11-10,West Penn Community Center,60
41201211,2015-11-09,Ammon Community Center,73
41201212,2015-11-09,Arlington Community Center,37
41201213,2015-11-09,Jefferson Community Center,19
41201214,2015-11-09,Ormsby Community Center,55
41201215,2015-11-09,Warrington Community Center,46
41201216,2015-11-09,Phillips Community Center,88
41201217,2015-11-09,Magee Community Center,38
41201218,2015-11-09,West Penn Community Center,32
41201219,2015-11-07,Ammon Community Center,49
41201220,2015-11-07,Brookline Community Center,162
41201221,2015-11-07,Ormsby Community Center,10
41201222,2015-11-07,Phillips Community Center,17
41201223,2015-11-07,Magee Community Center,61
41201224,2015-11-07,West Penn Community Center,23
41201225,2015-11-06,Ammon Community Center,21
41201226,2015-11-06,Arlington Community Center,21
41201227,2015-11-06,Brookline Community Center,67
41201228,2015-11-06,Jefferson Community Center,29
41201229,2015-11-06,Ormsby Community Center,23
41201230,2015-11-06,Phillips Community Center,72
41201231,2015-11-06,Warrington Community Center,24
41201232,2015-11-06,Magee Community Center,27
41201233,2015-11-06,West Penn Community Center,60
41201234,2015-11-05,Arlington Community Center,22
41201235,2015-11-05,Ammon Community Center,93
41201236,2015-11-05,Jefferson Community Center,32
41201237,2015-11-05,Brookline Community Center,111
41201238,2015-11-05,Ormsby Community Center,30
41201239,2015-11-05,Warrington Community Center,29
41201240,2015-11-05,Phillips Community Center,92
41201241,2015-11-05,Magee Community Center,13
41201242,2015-11-05,West Penn Community Center,168
41201243,2015-11-04,Ammon Community Center,40
41201244,2015-11-04,Arlington Community Center,20
41201245,2015-11-04,Brookline Community Center,127
41201246,2015-11-04,Jefferson Community Center,19
41201247,2015-11-04,Ormsby Community Center,55
41201248,2015-11-04,Paulson Community Center,1
41201249,2015-11-04,Phillips Community Center,75
41201250,2015-11-04,Warrington Community Center,32
41201251,2015-11-04,Magee Community Center,28
41201252,2015-11-04,West Penn Community Center,60
41201253,2015-11-03,Ammon Community Center,45
41201254,2015-11-03,Jefferson Community Center,29
41201255,2015-11-03,Brookline Community Center,247
41201256,2015-11-03,Ormsby Community Center,36
41201257,2015-11-03,Phillips Community Center,128
41201258,2015-11-03,Magee Community Center,20
41201259,2015-11-03,West Penn Community Center,62
41201260,2015-11-02,Ammon Community Center,132
41201261,2015-11-02,Arlington Community Center,26
41201262,2015-11-02,Brookline Community Center,94
41201263,2015-11-02,Jefferson Community Center,30
41201264,2015-11-02,Ormsby Community Center,30
41201265,2015-11-02,Phillips Community Center,85
41201266,2015-11-02,Warrington Community Center,26
41201267,2015-11-02,Magee Community Center,22
41201268,2015-11-02,West Penn Community Center,55
41201269,2015-10-31,Brookline Community Center,73
41201270,2015-10-31,Ormsby Community Center,11
41201271,2015-10-31,Phillips Community Center,33
41201272,2015-10-31,Magee Community Center,39
41201273,2015-10-30,Arlington Community Center,13
41201274,2015-10-30,Ammon Community Center,23
41201275,2015-10-30,Brookline Community Center,64
41201276,2015-10-30,Jefferson Community Center,22
41201277,2015-10-30,Ormsby Community Center,18
41201278,2015-10-30,Phillips Community Center,50
41201279,2015-10-30,Warrington Community Center,7
41201280,2015-10-30,Magee Community Center,18
41201281,2015-10-30,West Penn Community Center,29
41201282,2015-10-29,Ammon Community Center,80
41201283,2015-10-29,Arlington Community Center,9
41201284,2015-10-29,Jefferson Community Center,29
41201285,2015-10-29,Brookline Community Center,92
41201286,2015-10-29,Ormsby Community Center,28
41201287,2015-10-29,Warrington Community Center,13
41201288,2015-10-29,Phillips Community Center,67
41201289,2015-10-29,Magee Community Center,17
41201290,2015-10-29,West Penn Community Center,87
41201291,2015-10-28,Arlington Community Center,29
41201292,2015-10-28,Ammon Community Center,58
41201293,2015-10-28,Brookline Community Center,130
41201294,2015-10-28,Jefferson Community Center,16
41201295,2015-10-28,Ormsby Community Center,33
41201296,2015-10-28,Phillips Community Center,57
41201297,2015-10-28,Warrington Community Center,23
41201298,2015-10-28,Magee Community Center,40
41201299,2015-10-28,West Penn Community Center,66
41201300,2015-10-27,Ammon Community Center,91
41201301,2015-10-27,Arlington Community Center,24
41201302,2015-10-27,Jefferson Community Center,10
41201303,2015-10-27,Brookline Community Center,113
41201304,2015-10-27,Ormsby Community Center,67
41201305,2015-10-27,Warrington Community Center,56
41201306,2015-10-27,Phillips Community Center,99
41201307,2015-10-27,Magee Community Center,21
41201308,2015-10-27,West Penn Community Center,39
41201309,2015-10-26,Arlington Community Center,23
41201310,2015-10-26,Ammon Community Center,191
41201311,2015-10-26,Brookline Community Center,129
41201312,2015-10-26,Jefferson Community Center,18
41201313,2015-10-26,Ormsby Community Center,59
41201314,2015-10-26,Phillips Community Center,73
41201315,2015-10-26,Warrington Community Center,55
41201316,2015-10-26,Magee Community Center,18
41201317,2015-10-26,West Penn Community Center,44
41201318,2015-10-24,Brookline Community Center,63
41201319,2015-10-24,Ormsby Community Center,8
41201320,2015-10-24,Phillips Community Center,14
41201321,2015-10-24,Magee Community Center,59
41201322,2015-10-24,West Penn Community Center,22
41201323,2015-10-23,Ammon Community Center,103
41201324,2015-10-23,Arlington Community Center,18
41201325,2015-10-23,Brookline Community Center,99
41201326,2015-10-23,Jefferson Community Center,25
41201327,2015-10-23,Ormsby Community Center,21
41201328,2015-10-23,Phillips Community Center,61
41201329,2015-10-23,Warrington Community Center,32
41201330,2015-10-23,Magee Community Center,22
41201331,2015-10-23,West Penn Community Center,19
41201332,2015-10-22,Arlington Community Center,7
41201333,2015-10-22,Ammon Community Center,157
41201334,2015-10-22,Jefferson Community Center,18
41201335,2015-10-22,Brookline Community Center,137
41201336,2015-10-22,Ormsby Community Center,34
41201337,2015-10-22,Warrington Community Center,39
41201338,2015-10-22,Phillips Community Center,61
41201339,2015-10-22,Magee Community Center,16
